BAIRRO	DISTRITO	AREA	ID	POPULACAO_MASCULINA	POPULACAO_FEMININA	POPULACAO_TOTAL	RAZAO_DO_SEXO	RAZAO_DE_DEPENDENCIA	INDICE_DE_ENVELHECIMENTO	DOMICILIOS_PARTICULARES	MORADORES_DOMICILIOS_PARTICULARES	DOMICILIO_QUITADO	DOMICILIO_EM_AQUISICAO	DOMICILIO_ALUGADO	DOMICILIO_CEDIDO_POR_EMPREGADOR	DOMICILIO_CEDIDO_DE_OUTRA_FORMA	DOMICILIO_OUTRAS_CONDICOES	ABASTECIMENTO_TOTAL	ABASTECIMENTO_POR_REDE_GERAL	ABASTECIMENTO_POR_POCO	ABASTECIMENTO_POR_OUTROS	DOMICILIOS_COM_BANHEIRO	DOMICILIOS_SEM_BANHEIRO	POPULACAO_ALFABETIZADA	POPULACAO_NAO-ALFABETIZADA	OCORRENCIAS_POR_BAIRRO
Mangueiras	DAMOS	4185424.06	57	1414	1437	2851	99.12	61.67	7.90	787	2841	638	4	54	36	50	5	350	212	135	3	748	29	1036	148	0
Maracacuera	DAICO	6997995.12	38	6844	3837	10681	98.72	67.05	14.60	3571	13680	2792	34	444	53	228	20	2352	176	1750	426	3239	113	7153	1320	0
Maracaja	DAMOS	3686545.77	53	1647	1698	3345	99.11	59.91	4.29	844	3345	751	2	57	2	29	3	601	525	74	2	812	0	2237	184	0
Maracangalha	DASAC	1992248.89	26	14635	15899	30534	92.63	51.94	16.63	7705	30528	6002	88	1272	10	286	47	5974	5337	583	54	7386	31	22256	2703	0
Marahu	DAMOS	2654162.31	60	72	60	132	118.67	74.47	10.51	42	132	40	0	1	1	0	0	29	0	29	0	42	0	99	42	0
Marambaia	DAENT	5031826.44	10	31059	35649	66708	87.47	42.90	4.48	17551	66671	13202	380	3335	61	514	59	14333	12387	1869	77	17009	56	53559	3780	90
Marco	DABEL	4892342.76	8	29894	35950	65844	82.86	40.38	20.50	18160	65814	12833	669	3921	202	443	92	15528	13683	1798	47	17808	57	56937	2754	68
Miramar	DASAC	1473826.70	22	256	259	515	71.43	28.57	30.14	139	515	110	0	19	7	3	0	9	5	4	0	135	0	33	1	0
Murubira	DAMOS	2187298.06	67	786	733	1519	117.98	68.40	8.40	437	1517	315	1	30	79	12	0	265	119	141	5	393	33	643	185	0
Natal_do_Murubira	DAMOS	505996.39	69	533	565	1098	101.28	79.90	7.36	290	1091	252	1	14	6	16	1	246	111	120	15	287	0	729	220	0
Nazare	DABEL	1513220.68	14	8809	11695	20504	71.14	39.27	12.93	6403	20445	4347	217	1693	22	114	10	5256	3395	1854	7	6372	0	17758	257	31
Paracuri	DAICO	2531604.32	45	4946	4988	9934	101.49	66.10	86.00	2551	9930	2169	16	179	5	162	20	2122	595	936	591	2254	78	6312	1255	0
Paraiso	DAMOS	2255141.08	61	157	158	315	105.26	67.14	5.34	95	315	70	0	1	18	6	0	57	0	46	11	82	0	160	42	0
Parque_Guajara	DAICO	5586455.87	35	17074	17704	34778	98.05	67.95	11.90	9373	34754	7247	851	936	20	271	48	5637	1890	2742	1005	8562	359	16056	3564	0
Parque_Verde	DABEN	5096805.11	39	18599	20527	39126	91.36	53.34	4.26	10767	39112	7855	598	1477	25	206	606	7773	3163	3942	668	10444	92	25350	2621	6
Pedreira	DASAC	3683443.68	7	31923	37685	69608	86.47	43.78	6.91	19003	69511	13499	509	4102	56	741	96	16339	14103	2014	222	18322	57	59900	3742	7
Ponta_Grossa	DAICO	1276765.74	41	6295	6950	13245	91.39	47.57	23.05	3691	13238	2816	24	712	12	99	28	2936	2088	805	43	3491	33	10554	808	0
Porto_Arthur	DAMOS	277396.30	68	143	140	283	111.90	78.00	18.67	74	277	41	0	8	21	4	0	64	53	11	0	73	0	195	34	0
Praia_Grande	DAMOS	550293.47	55	376	372	748	107.17	62.68	11.43	197	748	138	1	23	20	15	0	99	79	20	0	196	0	358	46	0
Pratinha	DABEN	3284216.02	23	11107	11482	22589	100.31	59.47	14.10	5734	22574	5035	77	381	21	169	51	4228	920	2293	1015	4978	275	13548	2211	9
Reduto	DABEL	821708.22	3	2742	3631	6373	73.43	38.99	7.49	1937	6336	1286	86	516	6	42	1	1863	1630	228	5	1932	0	6544	122	6
Sacramenta	DASAC	2373269.32	6	20984	23429	44413	90.73	48.33	54.69	11504	44388	8923	53	2169	25	335	52	9928	9203	655	70	11049	88	36528	383	27
Sao_Bras	DABEL	1626307.10	13	8707	11229	19936	76.58	40.22	15.92	5846	19860	3998	194	1458	15	149	32	5040	4390	642	8	5770	0	18353	483	1
Sao_Clementa	DABEN	1189804.51	34	3825	3889	7714	101.83	72.06	56.76	2123	7713	1865	4	159	6	84	5	1455	262	682	511	1924	84	3955	966	0
Sao_Francisco	DAMOS	2364078.69	58	1204	1234	2438	106.65	73.14	4.18	630	2429	505	8	49	20	37	11	476	206	238	32	603	19	1391	423	0
Sao_Joao_do_Outeiro	DAOUT	5587524.05	50	6066	2068	8134	101.29	63.51	10.25	3374	12111	2696	41	313	69	242	13	1940	67	1567	306	3101	74	5592	1051	0
Souza	DAENT	4113028.44	9	6093	7097	13190	83.37	42.45	8.96	3842	13137	2290	221	757	459	102	13	3292	2482	808	2	3784	0	11430	447	54
Sucurijuquara	DAMOS	7596748.42	63	538	536	1074	118.50	70.04	21.66	257	1074	247	0	2	4	4	0	120	2	117	1	241	0	598	5595	0
Tapana	DABEN	9993490.81	24	32165	34504	66669	95.03	58.38	6.19	17515	66609	14463	600	1851	81	397	123	12510	4003	6859	1648	16591	341	39984	3594	1
Telegrafo	DASAC	2223212.35	5	20200	22753	42953	89.54	48.53	6.83	10578	42930	8587	69	1619	11	288	4	9135	8839	213	83	10059	68	35540	1748	0
Tenone	DAICO	6580588.99	36	14799	15630	30429	95.69	63.28	23.63	8262	30415	5953	1125	837	43	225	79	3951	864	2643	444	8000	114	12075	848	0
Terra_Firme	DAGUA	2436550.85	19	29518	31921	61439	96.09	53.05	14.29	15464	61404	12581	98	2191	20	542	32	13735	13044	525	166	13444	16	49391	7181	8
Umarizal	DABEL	2629543.36	4	13257	16833	30090	77.43	40.94	4.67	8575	30023	6261	286	1757	23	208	40	7501	6729	761	11	8438	49	27536	848	29
Una	DABEN	888206.36	47	3262	3462	6724	95.29	52.63	48.87	1835	6723	1455	7	280	21	69	3	1144	501	563	80	1653	55	3663	514	0
Universitario	DAENT	4573905.45	28	1275	1282	2557	95.17	66.08	8.17	689	2557	593	0	54	0	11	31	560	552	7	1	552	12	1888	396	
Val-de-Caes	DAENT	8764774.13	21	3331	3701	7032	89.20	44.39	5.87	1908	7022	1078	32	233	472	40	53	1301	1009	290	2	1840	10	4769	221	13
Vila	DAMOS	1445985.77	54	1455	1585	3040	89.84	54.98	18.08	841	3033	689	5	78	28	39	2	772	731	37	4	830	0	2584	296	0
