id	populacao
10001	94610
10002	2557
10003	64478
10004	12128
10005	6156
10006	6373
10007	30090
10008	31264
10009	19136
10010	42758
10011	20504
10012	19936
10013	13804
10014	61439
10015	12385
10016	65844
10017	69608
10018	42953
10019	26003
10020	515
10021	30534
10022	13190
10023	44413
10024	7032
10025	66708
10026	29379
10027	36224
10028	24424
10029	1588
10030	17520
10031	1827
10032	16642
10033	22589
10034	7714
10035	27781
10036	6724
10037	51776
10038	39126
