ID	AREA
1	164123040
2	27778506
3	142828521
4	1559159148
5	564733177
6	148920472
7	5779999
8	46095583
9	340111783
10	331937450
11	903366192
12	357145532
13	586522122
14	1247954666
15	56585000
16	199307922
17	98311616
18	251577738
19	43780172
20	52811047
21	281730223
22	237590547
23	224300506
24	95736165
25	248222362
26	21915116
27	277720520
