ID	POPULACAO_TOTAL
1	732793
2	3120922
3	668689
4	3480937
5	14021432
6	8448055
7	2562963
8	3512672
9	6004045
10	6569683
11	3033991
12	2449341
13	19595309
14	7588078
15	3766834
16	10439601
17	8796032
18	3119015
19	15993583
20	3168133
21	10695532
22	1560501
23	451227
24	6249682
25	41252160
26	2068031
27	1383453
